geometry,addr_country,amenity,emergency,healthcare,name,name_etymology_wikidata,healthcare_speciality,addr_city,addr_street,addr_district,addr_full,addr_postcode,addr_state,source,addr_housenumber,phone,website,wikidata,operator,name_en,email,internet_access,opening_hours,survey_date,description,operator_type,addr_subdistrict,contact_phone,time,services,contact_website,building,level,Latitude,Longitude,Region
POINT (79.115591 21.132256),,hospital,,,,,,,Ganesh nagar,,,440024.0,,,378,07122701912,,,,Shirbhate Hospital,pmshirbhate@yahoo.com,wlan,24/7,,,,,,,,,,,21.1322555,79.1155909,Central
POINT (79.078931 21.148013),,hospital,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1480127,79.0789312,Central
POINT (79.080208 21.134479),,hospital,,hospital,,,,,,,,,,,,,,,,"Neuron Brain, Spine & Critical Care Centre",,,,,,,,,,,,,,21.134478999999995,79.0802081,Central
POINT (79.080264 21.134592),,hospital,,hospital,,,,,,,,,,,,,,,,CIIHO Blood & Cancer Hospital,,,,,,,,,,,,,,21.1345925,79.0802644,Central
POINT (79.06149 21.133975),,hospital,,hospital,Happy Pharmacy,,,,,,,440010.0,,,,,,,,,,,,,,,,,,,,,,21.133975000000003,79.06148980000002,Central
POINT (79.116224 21.169797),,hospital,,,Samarpan Hospital and Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1697967,79.1162235,Central
POINT (79.099276 21.132624),,hospital,,,Balwaik Multi Speciality Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1326243,79.0992759,Central
POINT (79.100868 21.13403),,hospital,,,Niramaya Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.134030500000005,79.1008675,Central
POINT (79.106121 21.127189),,hospital,,hospital,ESIS Hospital,,,,,,,,,,,,,,,,,,,2019-10-12,,,,,,,,,,21.127189399999992,79.1061206,Central
POINT (79.077047 21.13538),,hospital,,hospital,,,,,Central Bazar Road,,,440012.0,,,301 B,"0712-2448520, 2460766",https://www.ashwinikidneycentre.com/,,,"Ashwini kidney & dialysis centre Pvt Ltd, AKDC",ookalkar@yahoo.co.in,,24/7,,,,,,,,,,,21.135379799999995,79.0770473,Central
POINT (79.110918 21.130476),,hospital,,hospital,Khalatkar Hospital,,,,,Nagpur,"R-29,Reshimbag,Umrer Road",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1304764,79.110918,Central
POINT (79.079257 21.185117),,hospital,,,Medicare Multi Speciality Hospital,,,,,Nagpur,"2nd Floor, Gulmohar Complex, Mankapur",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.185117,79.0792572,North
POINT (79.115662 21.130082),,hospital,,hospital,Sawarbandhe Multispeciality Hospital,,,,,Nagpur,"457, Anand Nagar, Sakkardala, Police Station Road",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1300825,79.1156621,Central
POINT (79.149322 21.151901),,hospital,,,Tikhile Maternity and Nursing Home,,,,,Nagpur,"First Floor, 9E Surya Nagar",440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1519006,79.1493216,East
POINT (79.07182 21.136316),,hospital,,hospital,Diabetes Care and Research Centre,,,,,Nagpur,"42,Lendra Park,Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.136316000000004,79.0718201,Central
POINT (79.062315 21.135136),,hospital,,hospital,Central Neurological Institute,,,,,Nagpur,80 West High Court Road Shankar,440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1351361,79.0623151,Central
POINT (79.064168 21.112668),,hospital,,,Karandikar Maternity and Nursing Home,,,,,Nagpur,"69, Shankar Nagar , West High Court Road",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1126679,79.0641685,South
POINT (79.068298 21.135572),,hospital,,hospital,Kamal Institute Of andro-Urology,,,,,Nagpur,"21, Kachipua, New Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1355715,79.0682983,Central
POINT (79.057436 21.135759),,hospital,,hospital,"Zenith Hospital, Nagpur",,,,,Nagpur,"Plot No. 141,Shivaji Nagar, Lane Opposite New Wokhardt Hospital North Ambazari Road",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1357586,79.0574365,Central
POINT (79.056991 21.140627),,hospital,,hospital,Dr Kg Deshpande Memorial Centre,,,,,Nagpur,"218, North Bazar Road, Gokulpeth Gokulpeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1406274,79.0569913,Central
POINT (79.073463 21.133749),,hospital,,hospital,Laser Vision Centre,,,,,Nagpur,"18,Rajkamal Complex, 1st Floor, Panchsheel Square Wardha Road",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.133748799999992,79.073463,Central
POINT (79.075786 21.135062),,hospital,,hospital,Ganeshrao Kanphade Memorial Hospital,,,,,Nagpur,"Second Floor,Pushp Kunj, Central Bazar Road, Ramdaspeth",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1350623,79.0757865,Central
POINT (79.114299 21.112685),,hospital,no,hospital,Ganeriwal Hospital,,diabetology,NAGPUR,,New Subhedar Layout,"New Subhedar Layout, Hudkeshwar,Opp.Nagoba Mandir",440024.0,Maharashtra,OpenGovernmentData;local knowledge,,,,,Dr.Mukund Ganeriwal,,,,"Mo-Su 11:00-14:00, 19:00-21:30",,Diabetes specialist hospital,private,,,,,,,,21.1126846,79.114299,South
POINT (79.115601 21.148761),,hospital,,hospital,ACE Women's Hospital,,,,,Nagpur,"Umiya Towers, Near Chandrashekhar Azad Square, Central Avanue",440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.148761400000005,79.11560120000001,Central
POINT (79.115218 21.149728),,hospital,,hospital,Radiance Hospital,,,,,Nagpur,"113-A, Quetta Colony, Telephone Exchange Square, Central Avenue",440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.149727599999995,79.1152176,Central
POINT (79.069452 21.116752),,hospital,,,Desai Children and Surgical Hospital,,,,,Nagpur,"37 Ramkrishna Nagar ,Kamla Road",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.116752500000004,79.0694518,Central
POINT (79.0626 21.139509),,hospital,,hospital,Sawali Ortho Hospital,,,,,Nagpur,"Datta Niwas, Hanuman Mandir Road,Dharampeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.139509100000005,79.0626004,Central
POINT (79.060068 21.138712),,hospital,,hospital,Chaitanya Maternity Home and Endoscopy Center,,,,,Nagpur,"Above Andhra Bank, W.H.C. Road, Dharampeth",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.138711700000005,79.0600681,Central
POINT (79.075494 21.133983),,hospital,,hospital,Mother Care Nursing Home,,,,,Nagpur,"5th Floor, Midas Hieghts, 7, Central Bazar Road, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,07122455648,https://mothercarenursinghome.in/,,,,,,,,,,,,,,,,,21.133982699999997,79.0754941,Central
POINT (79.080336 21.130916),,hospital,,hospital,Shrikhande Hospital and Research Center Pvt. Ltd.,,,,,Nagpur,"No. 34/2, Abhyankar Nagar,Abhyankar Road,Infront Of Ramkrishna Math,Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.130916099999997,79.0803355,Central
POINT (79.071478 21.11436),,hospital,,,"Kothari Hospital, Nagpur",,,,,Nagpur,"18, Hindustan Colony, Opp Sai Mandir Wardha Road",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.114360399999995,79.0714782,Central
POINT (79.10108 21.169958),,hospital,,,Prestos Madan Multispeciality Hospital,,,,,Nagpur,"Dr. Ambedkar Road, Indora, -17",440017.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1699581,79.1010797,Central
POINT (79.060162 21.139724),,hospital,,hospital,"Rathi Hospital, Nagpur",,,,,Nagpur,"Opp Bank Of Maharashtra, Near Laxmi Bhavan Square W H C Road",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.139724300000005,79.0601619,Central
POINT (79.100068 21.151748),,hospital,,hospital,Upcharya Institute Of Orthopaedic Surgery and Trauma Care Center,,,,,Nagpur,"62, Central Avenue, Near Gitanjali Theatre Square",440018.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1517482,79.1000685,Central
POINT (79.057002 21.111577),,hospital,,,Badjates Hospital,,,,,Nagpur,"39, Ranapratap Nagar, S E Rly Colony, Iind Layout",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1115774,79.0570016,South
POINT (79.06192 21.133066),,hospital,,hospital,Central India Cancer Research Institute,,,,,Nagpur,"11,Shankar Nagar ,West High Court Road",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1330665,79.0619201,Central
POINT (79.117452 21.173283),,hospital,,,Aharnish Hospital,,,,,Nagpur,Rani Durgawati Chowk,440017.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1732827,79.1174519,East
POINT (79.081054 21.138226),,hospital,,hospital,Brijmohan Taori Memorial Hospital,,,,,Nagpur,"Silver Palace, Opp-Yashwant Stadium",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1382257,79.0810543,Central
POINT (79.071593 21.114676),,hospital,,,Dr V E Tambe Critical Care Unit,,,,,Nagpur,"14, Hindustan Colony , Wardha Road",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.114676300000003,79.0715928,Central
POINT (79.074335 21.133618),,hospital,,hospital,Chaturvedi Surgical Hospital,,,,,Nagpur,"First Floor, Shar-Hari Building 20, Central Bazar Road, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.133618100000003,79.0743354,Central
POINT (79.079924 21.130964),,hospital,,hospital,Ortho Relief Hospital and Research Centre,,,,,Nagpur,"19, Opposite Ramkrishna Math, Kali Mata Mandir, Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,https://www.orthoreliefhospital.com/,,,,admin@orthoreliefhospital.com,,,,,,,,,,,,,21.1309643,79.0799238,Central
POINT (79.078694 21.167953),,hospital,,,"Green City Hospital, Nagpur",,,,,Nagpur,"First Floor,Achraj Towers,Chhaoni",440013.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1679533,79.07869400000001,Central
POINT (79.098553 21.171999),,hospital,,,Gurunanak Eye Hospital,,,,,Nagpur,"Indora Chowk, Kamptee Road , Police Station",440017.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.171999,79.0985531,Central
POINT (79.092218 21.180305),,hospital,,centre,Janta Maternity Home and Hospital,,,,,Nagpur,"NMC House No. 190/B, B. G. Shroff Girls High School, Jaripatka, Nagpur",440014.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,Maternity Home,,Nagpur (Urban),,,,,,,21.1803051,79.0922177,Central
POINT (79.088711 21.187604),,hospital,,,G Kumar Arogyadham Ayurved Panchkarm Hospital and Research Institute,,,,,Nagpur,"238, Kasturba Nagar Nara Road, Jaripatka",440014.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1876042,79.0887107,North
POINT (79.063104 21.183148),,hospital,,,Avadh Clinic and Nursing Home,,,,,Nagpur,"9-10, S.G. Colony, Mankapur Faras",440030.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1831475,79.0631036,North
POINT (79.083057 21.159777),,hospital,,,Naidu Hospital,,,,,Nagpur,Chandra Vihar Mohan Nagar Kamptee Road,440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1597766,79.0830566,Central
POINT (79.101836 21.146359),,hospital,,hospital,Sawarkar Multi Speciality Hospital,,,,,Nagpur,"Khadigramodyog Bhawan, Tilak Putla Gandhi Sagar Mahal , Tilak Pulla, Mahal",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1463587,79.1018361,Central
POINT (79.106566 21.143661),,hospital,,hospital,Dr Sawarkars Multi Speciality Clinical Care Hospital,,,,,Nagpur,"Khadi Gramodyog Bhawan, Tilak Putla, Gandhisagar, Mahal",440032.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1436607,79.1065662,Central
POINT (79.103504 21.138857),,hospital,,hospital,Patil Hospital,,,,,Nagpur,"Near Kashibai Temple , New Shukrawari",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1388574,79.1035044,Central
POINT (79.111326 21.130191),,hospital,,hospital,Dr Gaikwad Critical Care Center Private Limited,,,,,Nagpur,"31, Reshimbag , Sakkardara Square , Umer , Road",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.13019119999999,79.1113257,Central
POINT (79.117511 21.133841),,hospital,,hospital,Samadhan Hospital(Ayurved Panchakarma Hospital and Research Centre),,general,Nagpur,,Nagpur,"50, Ganesh Nagar",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.133840900000003,79.1175111,Central
POINT (79.068596 21.106927),,hospital,,,Dhawale Hospital,,,,,Nagpur,"N-3, New Sneh Nagar Wardha Rod",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.106926999999995,79.0685955,South
POINT (79.083089 21.133431),,hospital,,hospital,RNH Hospital,,,,,Nagpur,"Plot No. 40, Balraj Marg, Dhantoli",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1334311,79.0830888,Central
POINT (79.082109 21.106586),,hospital,,,Maxcare Hospital,,,,,Nagpur,"39, Saket Nagar, Near Narendra Nagar",440027.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1065861,79.0821091,South
POINT (79.101062 21.168136),,hospital,,,Abhinav Multispeciality Hospital,,,,,Nagpur,"Nava Nakasha, Kamal Chowk, Lashkari Bagh",440017.0,Maharashtra,OpenGovernmentData,,,https://www.bhatnagarhospital.com/,,,,b_abhinav@hotmail.com,,,,,,,,,,,,,21.168135900000003,79.1010616,Central
POINT (79.048883 21.111379),,hospital,,,Gandhi Maternity and Nursing Home,,,,,Nagpur,"55, Swawalambi Nagar Behind Uco Bank",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1113791,79.0488826,West
POINT (79.078616 21.135199),,hospital,,hospital,Genesis Hospital & Research Centre,,,,,Nagpur,"Vasant Sheela Twin Twoer, 2nd Floor, OppositeLokmat Building",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1351992,79.0786155,Central
POINT (79.081007 21.134055),,hospital,,hospital,Mulik Hospital,,,,,Nagpur,Opp Dhantoli Park,440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1340553,79.0810074,Central
POINT (79.082099 21.134093),,hospital,,hospital,Sparsh Urology and Kidney Hospital,,,,,Nagpur,"35, Balraj Marg Behind Navneet Book Depot, Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1340928,79.082099,Central
POINT (79.077857 21.159599),,hospital,,,Shanti Mohan Hospital,,,,,Nagpur,"1st Floor, Hif Complex Opp Saraf Chambers, Mount Road",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.159599,79.0778571,Central
POINT (79.051641 21.132453),,hospital,,hospital,Gb Multicare Hospital,,,,,Nagpur,"Plot No.25,Hill Road,Near Panchsheel Vachnalaya,Gandhi Nagar",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1324529,79.0516412,West
POINT (79.077003 21.134457),,hospital,,hospital,Sood Eye Hospital,,,,,Nagpur,Shree Wardhan Complex Panchsheel Sq Wardha Road,440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.134456799999995,79.0770029,Central
POINT (79.074378 21.133668),,hospital,,hospital,Soni Hospital,,,,,Nagpur,"Opp Daga Hospital , Gandhibag",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1336675,79.0743783,Central
POINT (79.073853 21.116298),,hospital,,,Waghralkar Ayurved Hospital,,,,,Nagpur,"47, West Samarth Nagar, Ajani Chawk, Wardha Road",440014.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.116297700000004,79.0738526,Central
POINT (79.074111 21.134158),,hospital,,hospital,Shanta Spine Institute,,,,,Nagpur,"1 St Floor Ashirwad Complex, Central Bazar Road, Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1341579,79.0741114,Central
POINT (79.115959 21.125739),,hospital,,hospital,Mogre Hospital,,,,,Nagpur,"First Floor, Tajshree Govind , Umrer Road, Sakkardara Square",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1257386,79.1159594,Central
POINT (79.150211 21.150312),,hospital,,,Kubde Children Hospital and Premature Baby Unit,,,,,Nagpur,"L-12, Shraddha Appt. Hb Town, Old Padi Naka Sq.",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1503124,79.1502111,East
POINT (79.104204 21.15381),,hospital,,hospital,Jeswani Multispeciality Hospital,,,,,Nagpur,"Parek Centre, Opp Daga Hospital , Gandhibagh",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.153810100000005,79.1042038,Central
POINT (79.077123 21.135108),,hospital,,hospital,Late Dr Anjani Mokadam Memorial Charitable Trust Anjani Eye Hospital,,,,,Nagpur,"No. 20, Farmland, Central Bazar Road, New Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1351079,79.0771229,Central
POINT (79.081905 21.134205),,hospital,,hospital,Mahajan Ortho and Surgical Hospital,,orthopaedics,,,Nagpur,"Vitthal Complex, 3Road Floor, Abhyankar Complex,Opposite Dhantoli Park Corner",440012.0,Maharashtra,OpenGovernmentData,,,,,novosalus,,,,,,,private,,,,,,,,21.1342054,79.0819046,Central
POINT (79.075509 21.134029),,hospital,,hospital,Midas Institute Of Gastroenterology,,,,,Nagpur,"07 Midas Height 4Th Floor , Central Bazar Road Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.134028999999995,79.0755089,Central
POINT (79.081846 21.14541),,hospital,,hospital,Dr. Mangala Ketkar,,,,,Nagpur,"Temple Bazar Road, Sitabuldi",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1454099,79.0818463,Central
POINT (79.111963 21.149734),,hospital,,hospital,Central Avenue Critical Care Hospital and Icu,,,,,Nagpur,"Mahalaxmi Complex, 1st Floor, Central Avenue",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1497345,79.11196280000001,Central
POINT (79.079036 21.168584),,hospital,,,"Mauli Hospital, Nagpur",,,,,Nagpur,"Indra Sarye Apartments,Near Achraj Tower Ii,Chhindwara Road,Chhaoni",440013.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.168583599999995,79.07903600000002,Central
POINT (79.040996 21.173101),,hospital,,hospital,Shubham Diabetic and Medical Centre,,,,,Nagpur,"112, Friends Colony, Katol Road, Nagpur",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1731014,79.0409955,West
POINT (79.082395 21.133573),,hospital,,hospital,Columbia Hospital and Research Centre - Nagpur,,,,,Nagpur,"Hyatt Medicare,3Road Floor, Dr.N.B.Khare Marg Beside Getwell Hospital,Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1335731,79.0823948,Central
POINT (79.061298 21.143085),,hospital,,hospital,Dr Gadge's-Om Surgical Hospital and Trauma Centre,,,,,Nagpur,"West Height Court Road, Coffee House Square , Gokulpeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1430847,79.0612985,Central
POINT (79.100074 21.17286),,hospital,,,Littles Care Children Hospital,,,,,Nagpur,"Parvati Tower, Indora Chowk",440017.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.17286,79.10007390000001,Central
POINT (79.105078 21.096133),,hospital,,,Chikhale Multispeciality and Cancer Hospital,,,,,Nagpur,"Plot No. 01 , Dhyaneshwar Nagar , Near Dn Gate. Manewada Cement Road",440027.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.0961331,79.10507820000001,South
POINT (79.065212 21.093788),,hospital,,,"Mamta Hospital, Nagpur",,,,,Nagpur,"Laxmi Vihar,Near Hotel Man Singh,Wardha Road,Somalwada",440025.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.0937883,79.0652119,South
POINT (79.065076 21.101836),,hospital,,,Mahatme Eye Bank Eye Hospital,,,,,Nagpur,"2163, C, Chinataman Nagar, Near Rajiv Nagar, Somalwada",440025.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1018355,79.0650755,South
POINT (79.056626 21.115144),,hospital,,,Shri Vyankatesh Multispeciality Hospital,,,,,Nagpur,"Bank Of India,Durga Mandir Road,Pratap Nagar",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.115144099999995,79.0566264,South
POINT (79.069224 21.134847),,hospital,,hospital,Golhar Spine Care and Trauma Reaserch Institute,,,,,Nagpur,"124/126, Matrusmurti,Near Nandaji Temple & Indusind Bank, Opposite East High Court,Ramdas Peth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1348474,79.0692241,Central
POINT (79.116759 21.125014),,hospital,,hospital,Dhokey Hospital,,,,,Nagpur,"Anand Palace, 7-B, Ayurvedic College Lay-Out, Sakkarudhara, Umred Road",440024.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1250135,79.1167586,Central
POINT (79.112544 21.129299),,hospital,,hospital,"Kothalkar Ent, Maternity and Surgical Nursing Home",,,,,Nagpur,"No. 40, In Front Of Mohota Science College,Sakkardara Square, Reshimbag",440009.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1292993,79.1125435,Central
POINT (79.109662 21.131522),,hospital,,hospital,Gillurkar Multispeciality Hospital,,,,,Nagpur,"20, Reshimbag, Umred Road , Near Sakkardara Square",440008.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1315222,79.1096624,Central
POINT (79.080037 21.137289),,hospital,,hospital,Suretech Hospital and Research Centre,,,,,Nagpur,"13 - A, Radhika Prasad Banerjee Marg, Dhantoli",440012.0,Maharashtra,OpenGovernmentData,,0712 661 2999,https://suretech-hospital-research-center.business.site/,,,,,,,,,,,,,,,,,21.1372887,79.0800371,Central
POINT (79.060499 21.138931),,hospital,,hospital,Meher Nursing and Maternity Home,,,,,Nagpur,"4Th Floor, Above Dena Bank, Whc Road, Dharampeth",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1389312,79.06049920000001,Central
POINT (79.042675 21.179666),,hospital,,hospital,Tajkrupa Hospital,,,,,Nagpur,"Manmada Colony , Katol Road",440026.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1796663,79.0426748,West
POINT (79.077157 21.135022),,hospital,,hospital,Ashwini Kidney and Dialysis Centre,,,,,Nagpur,"301/B, 401/B Neeti Gaurav Complex, 21 Central Bazar Road Ramdaspeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1350222,79.0771571,Central
POINT (79.055194 21.135361),,hospital,,hospital,Dr. V.M. Deo Memorial Hospital,,,,,Nagpur,"64, Shivajinagar, Off Lad College",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1353612,79.0551938,Central
POINT (79.079426 21.134664),,hospital,,hospital,Baheti Hospital,,,,,Nagpur,"Lokmat Square, Dhantoli, Nagpur",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1346645,79.0794256,Central
POINT (79.061686 21.108324),,hospital,,,G.T. Memorial Hospital and Icu,,,,,Nagpur,"110, Pande Layout, Khamla Road",440025.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1083245,79.0616861,South
POINT (79.072768 21.1191),,hospital,,,Shushrusha Ortho and Spine Care Hospital,,,,,Nagpur,"Nky Towers, Ajni Sq Warda Road",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.119100000000003,79.0727676,Central
POINT (79.104272 21.152962),,hospital,,hospital,Arihant Surgical and Maternity Hospital,,,,,Nagpur,"5, Parshwarsath Bhavan Opp: Dagar Hospital Gandhi Bogh",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1529621,79.1042722,Central
POINT (79.085467 21.140486),,hospital,,hospital,Platina Heart Hospital,,,,,Nagpur,"Dhaneshree Complex , Near Hotel Hardeo Sitabuldi",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.140486,79.0854666,Central
POINT (79.116348 21.149186),,hospital,,hospital,Rahate Surgical Hospital,,,,,Nagpur,"501; Kolba Swami Chowk Central Avenue,Near Tele.Exchange, Central Avenue",440015.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.149186,79.1163482,Central
POINT (79.054297 21.114213),,hospital,,,Sreeprabha Othopaedic and Trauma Hospital / Shreeprabha Ortho and Accident Hospital,,,,,Nagpur,"No. 71, Vidhya Vihar Society,Ring Raod,Pratap Nagar",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.114212799999997,79.0542973,West
POINT (79.060078 21.138755),,hospital,,hospital,Venkateswara Netralaya and Research Inst.,,,,,Nagpur,"2nd Floor, Above Andhra Bank, Whc Road, Dharampeth",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.138754899999995,79.0600781,Central
POINT (79.102244 21.140312),,hospital,,hospital,Shree Ramjiwan Choudhary Memorial Hospital and Research Centre,,,,,Nagpur,"New Shukrawari, Choudhary Road, Opposite Ram Coolers, Mahal",440002.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1403119,79.1022438,Central
POINT (79.060574 21.138963),,hospital,,hospital,Harsha Childrens Hospital and Maternity Home,,,,,Nagpur,"Sri Swami Arcade, 2nd Floor, Above Dena Bank, W H C Road, Dharampeth",440001.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1389631,79.0605737,Central
POINT (79.0789 21.137749),,hospital,,hospital,Kalamkar Multi Speciality Hospital and Research Institute Pvt Ltd,,,,,Nagpur,"3Road Floor, Shreevardhan Complex, Near Big Bazar, Panchsheel Chowk, Ramdaspeth, Wardha Road",440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.137749199999995,79.0789005,Central
